Alexandre;Pedro;12335469841;12136548
Fabio;Neres;12335469842;12136548
Sankler;Bergman;12335469843;12136548
Tiago;Pereira;12335469844;12136548
Bruno;Furukawa;12335469845;12136548
Joao;Santos;12335469846;12136548
Maria;Gasolina;12335469847;12136548
Joana;da Silva;12335469848;12136548
Jacinto;Pinto;12335469849;12136548
Miguel;Furukawa;12335469850;12136548
Artur;Norberto;12335469851;12136548
Jurema;Silva;12335469852;12136548
Bernardo;Cornwell;12335469853;12136548
Josefina;Mata;12335469854;12136548
Carlos;Joao;12335469855;12136548
Marta;Maria;12335469856;12136549
